audit_date,table_name,live_row_count,domain,primary_app_owner,other_app_consumers,role,authoritative_fields,duplicated_or_derived_fields,authority_status,live_schema_vs_code_status,issue_tags,notes
2026-05-05,conversation_prompt_scores,1277,analytics,prompt_transformer,Herman-Admin; herman-prompt,derived_scoring,conversation_id; user_id_hash; scoring_version; last_scored_at,all score and policy fields are derived from conversation analysis,derived,aligned,DERIVED_RETENTION_TRACKED,Derived analytics table. 1224 orphaned rows are now explicitly retained with conversation_deleted_at markers.
2026-05-05,conversation_turns,101,prompt,herman-prompt,prompt_transformer,turn_transcript,id; conversation_id; user_text; transformed_text; assistant_text; created_at,assistant_images; transformation_applied; summary_type; coaching_text; coaching_requirements; assistant_kind,authoritative_with_derived_columns,aligned,,Transcript is canonical; several columns hold derived transformer output.
2026-05-05,conversations,62,prompt,herman-prompt,Herman-Admin; prompt_transformer,conversation_header,id; user_id_hash; title; folder_id; created_at; updated_at,transformer_conversation cached JSON,authoritative_with_cached_copy,aligned,,Canonical conversation header table.
2026-05-05,database_instance_configs,1,operations,Herman-Admin,,ops_config,id; label; db_kind; host; database_name; connection_secret_reference; secret_source; vault_provider; is_active; managed_via_db_only,connection_string_masked; notes,authoritative,aligned,,Operational config table.
2026-05-05,environment_details,9,profile,prompt_transformer,Herman-Admin,profile_layer,user_id_hash; structure; answer_first; tone_directness; detail_level; ambiguity_reduction; exploration_level; context_loading; prompt_enforcement_level; compliance_check_enabled; pii_check_enabled; profile_version,same schema as other profile-layer tables,overlay_layer,aligned,PROFILE_LAYER_DUPLICATION,Higher-order overlay layer.
2026-05-05,feedback,1,prompt,herman-prompt,prompt_transformer,response_feedback,id; turn_id; conversation_id; user_id_hash; feedback_type; comments,selected_dimensions,authoritative,aligned,,Canonical response feedback table.
2026-05-05,final_profile,47,profile,prompt_transformer,herman-prompt; Herman-Admin,effective_profile,user_id_hash; structure; answer_first; tone_directness; detail_level; ambiguity_reduction; exploration_level; context_loading; prompt_enforcement_level; compliance_check_enabled; pii_check_enabled; profile_version,derived from type_detail plus overlay layers,derived_runtime_authority,aligned,PROFILE_LAYER_DUPLICATION,Derived runtime-effective profile. Post-0011 staging has zero final_profile/type_detail reconciliation gaps.
2026-05-05,group_profiles,1,tenant,Herman-Admin,,group_metadata,group_id; description; business_unit; owner_name,,authoritative,aligned,,Supplemental group profile.
2026-05-05,groups,1,tenant,Herman-Admin,,group_registry,id; tenant_id; group_name; group_type; parent_group_id; is_active,,authoritative,aligned,,Canonical group structure.
2026-05-05,guide_me_sessions,56,prompt,herman-prompt,,workflow_state,id; conversation_id; user_id_hash; status; current_step; answers; personalization,guidance_text; follow_up_questions; final_prompt,authoritative_with_derived_columns,aligned,,Prompt-owned workflow state.
2026-05-05,password_reset_tokens,1,auth,herman_portal,,reset_token_state,user_id_hash; token_hash; expires_at; used_at,,authoritative,aligned,,Portal password reset tokens now aligned to canonical user_id_hash authority.
2026-05-05,platform_managed_llm_configs,3,llm,Herman-Admin,herman-prompt; prompt_transformer,managed_llm_catalog,id; label; provider_type; model_name; endpoint_url; secret_reference; is_active,api_key_masked; notes,authoritative,aligned,,Canonical managed LLM catalog.
2026-05-05,prompt_transform_requests,29,analytics,prompt_transformer,herman-prompt,transform_request_log,id; session_id; user_id_hash; raw_prompt; transformed_prompt; task_type; target_provider; target_model; persona_source; result_type; created_at,conversation_json; findings_json; metadata_json; token_usage_json; enforcement flags,derived,aligned,DERIVED_RETENTION_TRACKED,Derived request log. Orphaned conversation references remain intentionally retained with retention_status metadata rather than silently dangling.
2026-05-05,prompt_ui_instance_configs,1,operations,Herman-Admin,,ops_config,id; label; base_url; is_active,notes,authoritative,aligned,,Operational config table.
2026-05-05,report_export_jobs,2,operations,Herman-Admin,,job_tracking,id; requested_by_admin_user_id; report_type; scope_type; scope_id; format; status; created_at,filters_json; file_path; completed_at,authoritative,aligned,,Operational export job tracking.
2026-05-05,reseller_partners,2,reseller,Herman-Admin,,reseller_registry,id; reseller_key; reseller_name; is_active; service_tier_definition_id,lifecycle_snapshot_json,authoritative,aligned,,Canonical reseller table.
2026-05-05,reseller_tenant_defaults,2,reseller,Herman-Admin,,default_template,reseller_partner_id; default_plan_tier; default_service_tier_definition_id; default_reporting_timezone; default_service_mode; default_enforcement_mode; default_credential_mode; default_platform_managed_config_id; default_provider_type; default_model_name; default_endpoint_url; default_transformation_enabled; default_scoring_enabled,default_portal_* fields; default_feature_flags_json; default retention/reporting/export flags,template_not_runtime_authority,aligned,DEFAULTS_DUPLICATE_RUNTIME,"Default template layer still duplicates tenant runtime, portal, and LLM settings structurally, though staging currently has no active platform-managed duplication rows."
2026-05-05,service_tier_definitions,7,reseller,Herman-Admin,,tier_catalog,id; scope_type; tier_key; tier_name; max_users; has_unlimited_users; max_organizations; monthly_admin_fee; per_active_user_fee; cqi_assessment; is_active; sort_order,description; additional_usage_fee; billing_notes,authoritative,aligned,,Canonical tier catalog.
2026-05-05,tenant_llm_config,3,llm,Herman-Admin,herman-prompt; prompt_transformer,tenant_llm_assignment,tenant_id; credential_mode; credential_status; transformation_enabled; scoring_enabled; platform_managed_config_id,provider_type; model_name; endpoint_url are customer-managed only,authoritative_normalized,aligned,CUSTOMER_MANAGED_ONLY_FIELDS,Platform-managed rows now resolve provider/model/endpoint from platform_managed_llm_configs instead of storing duplicated copies.
2026-05-05,tenant_onboarding_status,3,tenant,Herman-Admin,,operational_rollup,onboarding_status,tenant_created; llm_configured; llm_validated; groups_created; users_uploaded; admin_assigned; first_login_detected; first_transform_detected; first_score_detected,derived_status_rollup,aligned,DERIVED_ONBOARDING_STATE,Operational derived progress markers.
2026-05-05,tenant_portal_configs,3,portal_branding,Herman-Admin,herman_portal,tenant_branding,tenant_id; portal_base_url; logo_url; welcome_message; is_active,created_by_admin_user_id; created_at; updated_at,authoritative,aligned,DEFAULTS_DUPLICATE_RUNTIME,"Shared branding table, admin-owned semantically."
2026-05-05,tenant_profiles,3,tenant,Herman-Admin,,tenant_metadata,tenant_id; organization_type; industry; primary_contact_name; primary_contact_email; service_mode,deployment_notes; last_activity_at; utilization_pct,authoritative_with_derived_columns,aligned,,Supplemental tenant profile.
2026-05-05,tenant_runtime_settings,3,tenant,Herman-Admin,herman-prompt,tenant_policy,tenant_id; enforcement_mode; reporting_enabled; export_enabled; raw_prompt_retention_enabled; raw_prompt_admin_visibility; data_retention_days,feature_flags_json,authoritative,aligned,DEFAULTS_DUPLICATE_RUNTIME,Canonical tenant runtime policy table.
2026-05-05,tenants,3,tenant,Herman-Admin,herman_portal; herman-prompt; prompt_transformer,tenant_registry,id; tenant_key; tenant_name; reseller_partner_id; status; service_tier_definition_id; external_customer_id,plan_tier; reporting_timezone,authoritative,aligned,PLAN_TIER_DUPLICATION,Primary tenant registry.
2026-05-05,type_detail,47,profile,prompt_transformer,herman-prompt; Herman-Admin,foundational_profile,user_id_hash; structure; answer_first; tone_directness; detail_level; ambiguity_reduction; exploration_level; context_loading; prompt_enforcement_level; compliance_check_enabled; pii_check_enabled; profile_version,same schema as overlay/final profile tables,foundational_authority,aligned,PROFILE_LAYER_DUPLICATION,Foundational profile layer. Post-0011 staging has zero type_detail/final_profile reconciliation gaps.
2026-05-05,user_group_membership,0,tenant,Herman-Admin,herman-prompt,membership,user_id_hash; group_id; tenant_membership_id,tenant linkage derives through tenant_membership_id,authoritative,aligned,,Canonical user-to-group mapping.
2026-05-05,user_invitations,10,tenant,Herman-Admin,herman_portal,invitation_lifecycle,invite_token_hash; status; expires_at; accepted_at; revoked_at; is_current,historical invitation rows retained alongside current-state markers,current_state_plus_history,aligned,CURRENT_STATE_PLUS_HISTORY,Current-state semantics normalized by is_current. Staging has 6 current invitation rows and zero duplicate current records.
2026-05-05,user_membership_profiles,6,tenant,Herman-Admin,,membership_profile,tenant_membership_id; title; department,email; name fields; sessions_count; avg_improvement_pct; last_activity_at,duplicated,aligned,IDENTITY_DUPLICATION|DERIVED_USAGE_FIELDS,Still mixes membership-specific metadata with duplicated identity and usage rollups.
2026-05-05,user_tenant_membership,6,tenant,Herman-Admin,Herman-Admin; herman_portal; herman-prompt,membership,user_id_hash; tenant_id; status; is_primary,auth_users.tenant_id compatibility pointer,authoritative,aligned,,Canonical user-to-tenant authority. Staging has zero mismatches between primary membership and auth_users.tenant_id pointer.
2026-05-05,vault_secrets,6,security,Herman-Admin,herman-prompt,secret_store,secret_ref; secret_scope; secret_kind; ciphertext,rotation metadata,authoritative,aligned,,Canonical secret registry.
