audit_date,table_name,live_row_count,domain,primary_app_owner,other_app_consumers,role,authoritative_fields,duplicated_or_derived_fields,authority_status,live_schema_vs_code_status,issue_tags,notes
2026-05-04,final_profile,22,profile,prompt_transformer,herman-prompt; Herman-Admin,effective_profile,"user_id_hash; structure; answer_first; tone_directness; detail_level; ambiguity_reduction; exploration_level; context_loading; prompt_enforcement_level; compliance_check_enabled; pii_check_enabled; profile_version","derived from type_detail plus overlay layers",derived_runtime_authority,live_drift_detected,FINAL_PROFILE_STALENESS|PROFILE_LAYER_DUPLICATION,"Runtime reads treat this as authoritative, but builder derives it from layered tables. 8 rows have no type_detail; 25 type_detail rows have no final_profile."
2026-05-04,group_profiles,1,tenant,Herman-Admin,,group_metadata,"group_id; description; business_unit; owner_name",,authoritative,aligned,,Supplemental group profile.
2026-05-04,groups,1,tenant,Herman-Admin,,group_registry,"id; tenant_id; group_name; group_type; parent_group_id; is_active",,authoritative,aligned,,Canonical group structure.
2026-05-04,guide_me_sessions,54,prompt,herman-prompt,,workflow_state,"id; conversation_id; user_id_hash; status; current_step; answers; personalization","guidance_text; follow_up_questions; final_prompt",authoritative_with_derived_columns,aligned,PROMPT_SCHEMA_GOVERNANCE,"Prompt-owned wizard session state."
2026-05-04,password_reset_tokens,1,auth,herman_portal,,reset_token_state,"token_hash; expires_at; used_at","user linkage field is drifted",broken_authority,schema_code_mismatch,PASSWORD_RESET_SCHEMA_DRIFT,"Live schema uses user_id INTEGER; current portal code expects user_id_hash."
2026-05-04,platform_managed_llm_configs,3,llm,Herman-Admin,herman-prompt; prompt_transformer,managed_llm_catalog,"id; label; provider_type; model_name; endpoint_url; secret_reference; is_active","api_key_masked; notes",authoritative,aligned,TENANT_LLM_DUPLICATION,"Canonical managed LLM catalog."
2026-05-04,prompt_transform_requests,12,analytics,prompt_transformer,herman-prompt,transform_request_log,"id; session_id; user_id_hash; raw_prompt; transformed_prompt; task_type; target_provider; target_model; persona_source; result_type; created_at","conversation_json; findings_json; metadata_json; token_usage_json; enforcement flags",derived,live_drift_detected,PROMPT_REQUEST_ORPHANS,"7 rows reference missing conversations."
2026-05-04,prompt_ui_instance_configs,1,operations,Herman-Admin,,ops_config,"id; label; base_url; is_active","notes",authoritative,aligned,,Operational config table.
2026-05-04,report_export_jobs,2,operations,Herman-Admin,,job_tracking,"id; requested_by_admin_user_id; report_type; scope_type; scope_id; format; status; created_at","filters_json; file_path; completed_at",authoritative,aligned,,Operational export job tracking.
2026-05-04,reseller_partners,2,reseller,Herman-Admin,,reseller_registry,"id; reseller_key; reseller_name; is_active; service_tier_definition_id","lifecycle_snapshot_json",authoritative,aligned,,Canonical reseller table.
2026-05-04,reseller_tenant_defaults,2,reseller,Herman-Admin,,default_template,"reseller_partner_id; default_plan_tier; default_service_tier_definition_id; default_reporting_timezone; default_service_mode; default_enforcement_mode; default_credential_mode; default_platform_managed_config_id; default_provider_type; default_model_name; default_endpoint_url; default_transformation_enabled; default_scoring_enabled","default_portal_* fields; default_feature_flags_json; default retention/reporting/export flags",template_not_runtime_authority,aligned,DEFAULTS_DUPLICATE_RUNTIME,"Default template layer duplicates tenant runtime, portal, and LLM settings."
2026-05-04,service_tier_definitions,7,reseller,Herman-Admin,,tier_catalog,"id; scope_type; tier_key; tier_name; max_users; has_unlimited_users; max_organizations; monthly_admin_fee; per_active_user_fee; cqi_assessment; is_active; sort_order","description; additional_usage_fee; billing_notes",authoritative,aligned,,Canonical tier catalog.
2026-05-04,tenant_llm_config,3,llm,Herman-Admin,herman-prompt; prompt_transformer,tenant_llm_assignment,"tenant_id; credential_mode; credential_status; transformation_enabled; scoring_enabled; platform_managed_config_id","provider_type; model_name; endpoint_url duplicate platform_managed_llm_configs when credential_mode=platform_managed",authoritative_with_duplication,aligned,TENANT_LLM_DUPLICATION,"Runtime authority for tenant assignment, but selected model/provider fields can duplicate catalog data."
2026-05-04,tenant_onboarding_status,3,tenant,Herman-Admin,,operational_rollup,onboarding_status,"tenant_created; llm_configured; llm_validated; groups_created; users_uploaded; admin_assigned; first_login_detected; first_transform_detected; first_score_detected",derived_status_rollup,aligned,DERIVED_ONBOARDING_STATE,"Operational derived progress markers."
2026-05-04,tenant_portal_configs,3,portal_branding,Herman-Admin,herman_portal,tenant_branding,"tenant_id; portal_base_url; logo_url; welcome_message; is_active","created_by_admin_user_id; created_at; updated_at",authoritative,aligned,DEFAULTS_DUPLICATE_RUNTIME,"Shared branding table, admin-owned semantically."
2026-05-04,tenant_profiles,3,tenant,Herman-Admin,,tenant_metadata,"tenant_id; organization_type; industry; primary_contact_name; primary_contact_email; service_mode","deployment_notes; last_activity_at; utilization_pct",authoritative_with_derived_columns,aligned,,Supplemental tenant profile.
2026-05-04,tenant_runtime_settings,3,tenant,Herman-Admin,herman-prompt,tenant_policy,"tenant_id; enforcement_mode; reporting_enabled; export_enabled; raw_prompt_retention_enabled; raw_prompt_admin_visibility; data_retention_days","feature_flags_json",authoritative,aligned,DEFAULTS_DUPLICATE_RUNTIME,"Canonical tenant runtime policy table."
2026-05-04,tenants,3,tenant,Herman-Admin,herman_portal; herman-prompt; prompt_transformer,tenant_registry,"id; tenant_key; tenant_name; reseller_partner_id; status; service_tier_definition_id; external_customer_id","plan_tier; reporting_timezone",authoritative,aligned,PLAN_TIER_DUPLICATION,"Primary tenant registry."
2026-05-04,type_detail,39,profile,prompt_transformer,Herman-Admin,foundational_profile,"user_id_hash; structure; answer_first; tone_directness; detail_level; ambiguity_reduction; exploration_level; context_loading; prompt_enforcement_level; compliance_check_enabled; pii_check_enabled; profile_version","same schema as other profile-layer tables",foundational_authority,live_drift_detected,PROFILE_LAYER_DUPLICATION|FINAL_PROFILE_STALENESS,"Current builder requires this as the foundational layer; 25 rows have no final_profile."
2026-05-04,user_group_membership,0,tenant,Herman-Admin,,membership,"user_id_hash; group_id; tenant_membership_id",,authoritative,aligned,USER_TENANT_AUTHORITY,"Canonical group assignment table, currently empty."
2026-05-04,user_invitations,10,auth_invitation,Herman-Admin,herman_portal,invitation_lifecycle,"invite_token_hash; status; expires_at; accepted_at; revoked_at","user_id_hash; tenant_id; email duplicate auth and membership state",shared_but_ambiguous,live_drift_detected,INVITATION_HISTORY_STATE_CONFLICT|PORTAL_INVITATION_QUERY_DRIFT,"2 duplicate membership pairs exist; portal code does not currently read expires_at or revoked_at from live rows."
2026-05-04,user_membership_profiles,6,tenant,Herman-Admin,auth_users,membership_profile,"tenant_membership_id; first_name; last_name; title; initial_user_type","email duplicates auth_users.email; sessions_count; avg_improvement_pct; last_activity_at are derived",duplicated,aligned,IDENTITY_DUPLICATION|DERIVED_USAGE_FIELDS,"Mixed identity and analytics."
2026-05-04,user_tenant_membership,6,tenant,Herman-Admin,auth_users; herman_portal,membership,"user_id_hash; tenant_id; status; is_primary",overlaps auth_users.tenant_id,shared_but_duplicated,aligned,USER_TENANT_AUTHORITY,"Best structured membership table, but runtime logic also relies on auth_users.tenant_id."
2026-05-04,vault_secrets,6,secrets,Herman-Admin,herman-prompt,secret_store,"secret_ref; provider_type; scope_type; scope_id; secret_kind; ciphertext","display_name; secret_masked; metadata_json; last_accessed_at",authoritative,aligned,,Canonical encrypted secret storage.
